SEX;SCORED_1_LINE;SCORED_2_LINE;SCORED;DEFENCE_0;DEFENCE_1;DEFENCE_2;DEFENCE_3;DEFENCE;GIVEN_POINT;FRAME;LANDING;LINE;OTHER_ERRORS;OVERTURNING_FAILED;ENGAGE_FAILED;SWITCH_FAILED;CONSTRUCTION_FAILED;OTHER_FOULS;FOUL;TOTAL_SHOT_1_LINE;TOTAL_SHOT_2_LINE;TOTAL_SHOT;%SHOT_SCORED_1_LINE;%SHOT_SCORED_2_LINE;%SHOT_SCORED;CAUGHT_1_LINE;CAUGHT_2_LINE;DEFENSIVE_TOUCH;CAUGHT;DROPPED;TOTAL_DEFENCE;%SHOT_DEFENDED;MIN;PPM;DPM;TRUE_POINTS;TPPM;%TRUE_SHOT_SCORED;POINT_ON_TEAM;DEFENCE_ON _TEAM;TRUE_POINT_ON_TEAM;VAL_OFF;VAL_DEF;VAL;VALPM;VAL_ON_TEAM;ROLE
0;;;;;;;;;;;;;;;;;;;2;;;;;;0;;;;;6;;0;;;;;;;;;;;;;;;Pivot
0;;;0;;;;;;1;;;;;;;;;;;;;;;;0;;;;0;3;;0;;;;;;;;;;;;;;;Wing
1;;;4;;;;;3;;;;;;;;;;;6;;;;;;42;;;;;9;;44;;;;;;;;;;;;;;;Wing
1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;2;6;;67;;;;;;;;;;;;;;;Pivot
1;;;3;;;;;5;;;;;;;;;;;3;;;;;;27;;;;;4;;33;;;;;;;;;;;;;;;Wing
1;;;3;;;;;3;;;;;;;;;;;1;;;;;;43;;;;7;;;39;;;;;;;;;;;;;;;Pivot
1;;;5;;;;;8;;;;;;;;;;;;;;;;;38;;;;;1;;67;;;;;;;;;;;;;;;Wing
1;;;;;;;;4;1;;;;;;;;;;4;;;;;;37;;;;6;2;;3;;;;;;;;;;;;;;;Wing
1;;;;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;Pivot
1;;;3;;;;;3;;;;;;;;;;;4;;;;;;30;;;;3;6;;33;;;;;;;;;;;;;;;Wing
1;;;;;;;;;0;;;;;;;;;;1;;;;;;0;;;;4;0;;100;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;1;1;;;;;;;;;;1;;;;;;0;;;;5;2;;1;;;;;;;;;;;;;;;Wing
1;;;;;;;;1;;;;;;;;;;;1;;;;;;33;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;16;;;;;;;;;;;8;;;;;;40;;;;4;;;44;;;;;;;;;;;;;;;Wing
1;;;;;;;;1;;;;;;;;;;;;;;;;;50;;;;2;;;;;;;;;;;;;;;;;;Pivot
1;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;6;7;;46;;;;;;;;;;;;;;;Pivot
1;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;10;8;;56;;;;;;;;;;;;;;;Pivot
1;;;4;;;;;3;;;;;;;;;;;2;;;;;;20;;;;4;4;;50;;;;;;;;;;;;;;;Wing
1;;;15;;;;;;1;;;;;;;;;;4;;;;;;53;;;;5;4;;43;;;;;;;;;;;;;;;Wing
